Site,UTM N,UTM E,2015 Start Date,2015 End Date,Rabbits 2013/2014,,,,,,,,,,,,,,,,Rabbits 2015,,,,,,,,,,,,,,,,,Cats 2013/2014,,,,,,,,,,,,,,,,Cats 2015,,,,,,,,,,,,,,,,year_2013,dist_cam_z,Total CatCaps_2013_14,CatIndividuals_2013_14,Total CatCaps_2015,CatIndividuals_2015,RabbitPresence_2013_14,HumanTrail,Rabbitat,Rabbitat_buff,HumanTrail,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z
Fs094,2731624.143,461981.2857,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS094,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.37,0,0,0,0,0,0,0,0,0,-0.68,-1.01,0.07,-0.5,0,0,0,Pineland,0,0,1,1.84,2.33
Fs102,2729492.772,462901.7922,4/30/16,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-3.64,1,1,1,1,0,0,1,0,0,-0.51,-0.54,-0.8,-1.05,1,1,1,Freshwater Wetland,1,0,0,-0.03,-1.17
Fs109,2730070.476,462881.3056,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-1.15,0,0,0,0,0,0,1,1,0,-0.7,-0.96,-1.14,-0.39,1,0,1,Pineland,0,0,1,-1.49,-0.58
FS112,2730592.846,463549.6892,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-3.64,2,2,2,2,0,0,0,0,0,-0.79,-0.85,-0.62,0.07,0,0,0,Pineland,0,0,1,-1.22,-0.07
Fs114,2734849.519,459554.9742,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS114,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.32,1,1,1,1,0,0,1,0,0,-0.54,-0.96,0.61,3.04,0,0,0,Buttonwood,0,1,0,-1.28,-0.42
Fs115,2734574.508,460081.369,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.,0,-1.43,3,1,3,1,0,0,1,0,0,0.15,-0.49,-0.23,2.33,0,0,0,Freshwater Wetland,1,0,0,-0.95,-0.47
Fs118,2733344.991,460774.7457,3/29/15,4/13/15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,.,FS118,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,.,0,-0.11,3,2,3,2,1,1,1,0,1,1.04,2.24,-0.04,0.61,0,0,0,Freshwater Wetland,1,0,0,-0.58,-0.2
Fs125D,2732331.83,462105.9761,3/27/15,4/11/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS125D,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,0,-0.11,1,1,1,1,0,0,0,0,0,-0.19,-0.69,1.51,-1.29,0,1,1,Pineland,0,0,1,0.54,0.69
FS129,2732375.051,461794.938,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.,0,0.44,3,2,3,2,0,1,0,0,1,-0.43,0.06,1.53,-1.09,0,1,1,Pineland,0,0,1,0.54,1.96
FS133,2732487.012,460993.789,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,.,0,.,4,3,4,3,0,1,0,0,1,0.85,0.38,1.45,-0.08,0,0,0,Pineland,0,0,1,1.95,0.59
FS136,2732015.854,460772.647,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,FS136,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.,0,.,3,2,3,2,1,1,1,1,1,2.26,1.26,1.1,0.25,0,0,0,Pineland,0,0,1,1.95,-0.09
FS139,2731848.381,461974.8974,4/29/15,5/14/15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.,0,1.83,2,2,2,2,0,1,0,0,1,-0.4,0.38,0.69,-0.74,0,0,0,Pineland,0,0,1,0.54,2.65
FS141,2731839.637,464336.7784,4/10/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FS141,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,.,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-1.01,5,2,5,2,0,0,1,1,0,-0.37,-0.85,2.2,1.6,0,0,0,Hammock,0,0,1,-1.18,-0.69
FS142,2731615.025,464276.8574,4/10/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FS142,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.62,3,1,3,1,0,0,1,1,0,-0.29,-0.57,1.83,1.32,0,0,0,Hammock,0,0,1,-1.18,-0.02
Fs143,2730835.932,463869.4044,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS143,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.,0,-0.04,1,1,1,1,0,0,1,1,0,-0.37,-0.98,0.27,0.29,0,0,0,Exotic,0,0,1,-1.28,0.13
Fs144,2731159.571,463092.7964,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,1,1,0,0,-0.64,1.22,0.27,0.64,0,0,0,Buttonwood,0,1,0,-1.08,-1.22
Fs145,2731404.021,463103.4523,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,.,0,-0.25,3,1,3,1,0,1,1,0,1,-0.62,1.62,0.58,0.43,0,0,0,Buttonwood,0,1,0,-1.08,-0.65
Fs146,2731529.996,462956.0594,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,0,-0.39,1,1,1,1,0,1,1,1,1,-0.64,0.71,0.55,0.18,0,0,0,Hammock,0,0,1,-1.13,-0.38
Fs149,2731316.618,462127.2234,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,2.65,2,2,2,2,0,0,0,0,0,0.1,-0.59,-0.32,-0.05,0,0,0,Pineland,0,0,1,1.95,2.1
Fs151,2731591.693,461535.0047,4/12/15,4/27/15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,.,FS151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.73,0,0,0,0,1,0,1,1,0,-0.36,-0.82,0.07,-0.22,0,0,0,Pineland,0,0,1,1.95,-0.61
Fs153,2730563.319,462218.8149,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS153,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0.51,0,0,0,0,0,0,1,1,1,0.6,0.22,-1.22,0.63,1,0,1,Pineland,0,0,1,-0.8,1.24
Fs154,2730303.385,462379.9246,4/30/15,5/15/15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,FS154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.87,0,0,0,0,1,0,1,0,0,-0.26,-0.75,-0.71,0.24,1,0,1,Freshwater Wetland,1,0,0,0.14,-1.26
FS155,2730080.921,462297.8815,4/11/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,FS155,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,.,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-0.73,6,2,6,2,1,0,1,0,0,-0.06,-0.47,-0.36,0.06,0,0,0,Freshwater Wetland,1,0,0,0.14,-1.11
Fs156,2729658.182,462380.2953,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,0,0,0,1,1,0,1,-0.34,0.34,0.19,-0.41,0,0,0,Buttonwood,0,1,0,-1.15,-0.97
Fs158,2729803.918,463826.7767,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.,FS158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,.,0,-0.18,7,2,7,2,1,1,1,0,1,-0.69,-0.4,-1.33,-0.99,1,1,1,Freshwater Wetland,1,0,0,0.36,-0.51
FS159,2730543.08,463062.3266,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,.,FS159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.,0,-0.25,2,1,2,1,1,0,1,0,0,-0.55,-0.29,-0.83,0.09,1,0,1,Freshwater Wetland,1,0,0,0.36,-0.95
FS160,2730366.846,462755.9041,4/11/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,FS160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08,0,0,0,0,1,1,1,0,1,-0.67,0.18,-0.73,0.05,1,0,1,Freshwater Wetland,1,0,0,0.14,-0.92
Fs162,2729059.028,464387.3328,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS162,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,.,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,.,0,0.37,16,7,16,7,0,0,0,0,0,-0.33,-0.7,-0.49,-0.73,0,0,0,Pineland,0,0,1,0.19,0.99
Fs163,2729073.22,463705.4943,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS163,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.94,0,0,0,0,0,0,1,1,0,-0.24,-0.59,-1.09,-1.12,1,1,1,Pineland,0,0,1,0.19,0.16
Fs164,2728951.629,463880.8411,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS164,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,.,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,.,0,-0.8,10,4,10,4,0,0,0,0,0,-0.37,-0.87,-1.4,-1.33,1,1,1,Pineland,0,0,1,0.19,0.09
FS165,2729795.262,463092.1704,4/11/15,4/27/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FS165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17,1,1,1,1,1,0,1,0,0,-0.48,-0.59,-0.88,-0.79,1,1,1,Freshwater Wetland,1,0,0,0.14,-0.79
Fs166,2729405.839,463652.5744,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.,FS166,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,.,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,.,0,1.83,5,1,5,1,1,1,1,1,1,-0.62,-0.65,-1.09,-1.35,1,1,1,Pineland,0,0,1,0.19,0.24
FS168,2729170.147,463984.7257,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS168,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,.,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,.,0,-0.73,15,2,15,2,0,0,0,0,0,-0.55,-0.81,-0.99,-1.09,1,1,1,Pineland,0,0,1,0.19,0.32
Fs170,2733573.697,461338.2169,3/29/15,4/13/15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-1.29,0,0,0,0,0,0,1,1,0,2.17,2.88,0.62,0.36,0,0,0,Pineland,0,0,1,0.67,-0.35
FS176,2732231.61,460523.6759,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS176,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,.,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,.,0,.,8,2,8,2,0,1,1,1,1,4.5,2.65,1.61,0.51,0,0,0,Pineland,0,0,1,1.95,1.34
Fs178,2732082.514,461845.613,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS178,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,0,1.06,1,1,1,1,0,1,0,0,1,-0.29,0.45,1.06,-0.97,0,1,1,Pineland,0,0,1,0.54,1.59
Fs180,2730901.59,463424.9727,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-1.49,0,0,1,0,1,0,1,1,0,-0.29,-0.26,-0.09,0.49,0,0,0,Pineland,0,0,1,-1.01,-0.26
FS183,2730253.668,462055.8746,4/11/15,4/27/15,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,.,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,FS183,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,1,0,1,0,0,-0.05,-0.68,-0.6,0.42,1,0,1,Freshwater Wetland,1,0,0,0.14,-1.05
FS184,2730726.459,462052.6221,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS184,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,.,1,1,1,1,0,1,1,1,1,-0.46,-0.75,-1.12,0.68,1,0,1,Pineland,0,0,1,-0.8,0.79
Fs185,2729500.877,463440.0647,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.,FS185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.66,0,0,0,0,1,0,1,0,0,-0.36,-0.15,-1.2,-1.27,1,1,1,Freshwater Wetland,1,0,0,0.36,-0.43
Fs189,2731498.502,461291.9264,4/12/15,4/27/15,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.94,0,0,0,0,0,1,1,0,1,0.12,0.26,-0.09,0.05,0,0,0,Salt Marsh,0,1,0,-0.98,-1.24
Fs191,2730903.074,463253.2374,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.,FS191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,-0.53,0,0,0,0,1,1,1,0,0,0.15,0.03,-0.16,0.5,0,0,0,Buttonwood,0,1,0,-1.08,-0.96
FS192,2729402.962,463998.1432,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS192,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,.,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,.,0,.,5,2,5,2,0,0,0,0,0,-0.48,-0.96,-1.18,-1.24,1,1,1,Pineland,0,0,1,0.19,0.7