Cam_name,X,Y,Land_type,droad,dstream,elev,tpi,NDVI
amethyst lake 415655 5838411,415655,5838411,Jasper,12759.7998,55,1994,-212.0579987,7102.967969
ancient wall 376992 5919664,376992,5919664,Jasper,47406.60156,53.1506996,1760,-373.9330139,6576.895996
astoria 427308 5839183,427308,5839183,Jasper,1134.040039,640.3120117,1722,-259.6260071,6440.971973
bess pass 343359 5911520,343359,5911520,Crown,76867.20313,530,1695,0,6789.304004
brewster skywalk c2 481109 5789822,481109,5789822,Jasper,44.7214012,101.2419968,1825,-608.3709717,5605.156055
brewster skywalk c2b 481109 5789822,481107,5789822,Jasper,49.2443008,97.0823975,1825,-608.3709717,5605.156055
brewster skywalk c2c,481108,5789822,Jasper,49.2443008,97.0823975,1825,-608.3709717,5605.156055
brewster skywalk c4 481117 5789910,481117,5789910,Jasper,14.1421003,158.1139984,1897,-615.3790283,5605.156055
byng pass 368302 5909613,368302,5909613,Jasper,52485.80078,55.9016991,2055,-200.0420074,5973.56792
Cam01_1,479075.5612,5874408.876,Crown,1146,14.1421003,1623,-119.9729996,7843.109961
Cam01_2,477112.6478,5873114,Whitehorse,310.3630066,14.1421003,1622,-160.0440063,5412.276074
Cam02_1,479832.1259,5882640.252,Crown,2729.860107,176.7059937,1543,-20.3687992,8198.237988
Cam02_2,479982.2916,5879836.348,Crown,381.8380127,42.7200012,1512,-77.0134964,7955.497949
Cam03_1,476702.1259,5867051,Crown,1853.459961,36.4006004,1729,-218.5420074,7560.855957
Cam03_2,474433.4964,5866740.007,Whitehorse,4108.799805,295,2015,-197.9570007,7707.728027
Cam04_1,475547.8741,5877709.252,Crown,638.1220093,44.7214012,1667,-105.3239975,7238.597949
Cam04_3,475861.3587,5879662.352,Crown,210.7720032,136.0149994,1674,0.322144,7534.458008
Cam05_2,474742.4609,5872358,Whitehorse,2422.280029,20,1820,-72.5472031,5206.503906
Cam06_2,497280.1324,5859655.53,Crown,87.3211975,200,1645,-128.1260071,7409.504004
Cam06_3,492685.6551,5862803.69,Crown,2128.219971,121.6549988,1831,62.1887016,7702.748047
Cam07_2,478803.7691,5858096.834,Crown,3745.350098,103.0780029,1909,-71.164299,5716.552002
Cam07_3,481157.2374,5863542.038,Mine,498.04599,468.2409973,1868,-165.7039948,5947.412012
Cam08_2,483623.8826,5861178.176,Whitehorse,603.2620239,348.2099915,2049,117.9400024,6645.587988
Cam09_1,467723.1784,5871746,Whitehorse,8208.650391,11.1802998,1847,-153.1390076,5592.336133
Cam09_2,466462.6567,5871226,Whitehorse,9413.839844,53.1506996,1853,-190.5350037,4722.269873
Cam10_3,477083.6631,5888353.822,Crown,3629.320068,104.4029999,1346,-110.1320038,7772.491992
Cam11_1,486712.1784,5881774.548,Crown,66.7082977,270.6010132,1441,-44.4519997,7102.166016
Cam11_3,490956.5997,5878734,Crown,60,0,1475,-16.5708008,6210.818066
Cam12_1,505218.795,5866236.41,Crown,1950.619995,70.710701,1563,-1.19678,7545.451953
Cam12_2,502258.4203,5869544,Crown,25,201.2460022,1528,-79.0030975,6992.011914
Cam12_3,505746.6981,5871307.368,Crown,230.2169952,280.2229919,1487,-30.8885002,6528.104102
Cam13_2,494072.9201,5888137.679,Crown,205.0610046,215.0579987,1380,5.4685102,7489.604004
Cam13_3,494340.5103,5885637.383,Crown,503.8349915,40.3112984,1380,-1.22778,7664.169922
Cam14_1,500246.3975,5870208.137,Crown,1054,103.0780029,1656,38.7268982,6737.443945
Cam14_2,500094.8261,5865754.449,Crown,2502.639893,172.1920013,1700,-12.1367998,7081.586035
Cam14_3,498486.5504,5866283.505,Crown,4159.529785,36.4006004,1612,-95.3373032,7817.708008
Cam15_1,470487.1244,5888954.502,Crown,2730,128.5500031,1404,-75.7975006,7823.8
Cam15_2,468083.8837,5885326.447,Mine,20,10,1491,-148.697998,7359.495898
Cam16_1,491903.3849,5875133.41,Crown,319.4530029,29.1548004,1488,-96.8721008,6924.158008
Cam16_2,493206.0131,5873695.202,Crown,1717.319946,25,1526,-81.5752029,7219.554101
Cam17_1,505041.3849,5859526,Crown,194.4859924,81.3940964,1565,-101.6169968,7321.17002
Cam18_2,497252.79,5883691.42,Crown,30,311.8089905,1426,28.6264992,6830.949902
Cam19_2,501861.2754,5874320,Crown,111.8030014,15,1486,-26.8843994,6475.754004
Cam20_1,500314.2142,5890228,Crown,286.0069885,166.2079926,1242,-90.4201965,7386.84209
Cam20_3,504280.7257,5887076.006,Crown,185.6069946,85,1338,12.0214996,7436.134082
Cam22_1,484638.8843,5885440.219,Crown,2282.51001,210,1393,-30.5564003,7799.537988
Cam22_2,483917.6789,5889350,Crown,498.6480103,178.8849945,1300,-95.7312012,7714.808008
Cam23_2,475487.621,5906253.758,Crown,35,322.6839905,1312,35.4977989,7614.005957
Cam23_3,478156.6936,5906393.33,Crown,212.1320038,306.4719849,1227,-46.2826004,7449.204004
Cam25_3,461801.4336,5888451,Crown,3152.27002,139.2839966,1466,-170.9869995,7702.882031
Cam26_2,474689.6078,5899628.785,Crown,251.0980072,38.0788994,1255,-83.8151016,7304.114063
Cam26_3,468940.9116,5899633.47,Crown,5,123.4909973,1356,-84.7071991,7741.891992
Cam27_1,463117.86,5894857.76,Crown,409.1759949,75,1376,-152.5509949,7783.810156
Cam27_3,459833.3594,5896437.331,Crown,2350.120117,62.6497993,1436,-81.055397,8044.99209
Cam29_1,479304.5729,5902857.999,Crown,221.9230042,321.7529907,1203,-57.645401,7374.091992
Cam29_3,476331.6629,5898232.497,Crown,298.32901,332.8659973,1310,-42.4236984,7651.206055
Cam30_1,465559.3849,5898682.41,Crown,353.0230103,46.0976982,1436,-42.9477997,7820.309961
Cam30_3,462715.0595,5898898.13,Crown,486.5440063,20,1495,28.6842003,7825.426074
Cam31_2,489148.765,5869831.927,Crown,3235.310059,185.5399933,1597,-174.7519989,7959.582031
Cam32_2,478001.7839,5894310.135,Crown,317.0570068,124.1969986,1258,-96.3740997,7424.154004
Cam33_2,466314.379,5910429,Crown,601.1030273,170,1346,31.0060005,7717.781934
Cam34_3,466800.4243,5892703.471,Crown,257.730011,20,1377,-97.7779999,7688.539941
Cam35_1,486947.3404,5877856.021,Crown,3126.179932,330.6430054,1513,-56.4956017,6935.895996
Cam35_2,488317.3006,5877131.471,Crown,2318.110107,25,1450,-109.3310013,6470.795996
Cam36_1,470451.8939,5879104.372,Mine,830.7379761,612.25,1841,20.5926991,6057.290039
Cam37_1,459689.942,5907506.678,Crown,539.4899902,181.177002,1322,-26.7416,7861.721973
Cam37_3,459064.9607,5910546.902,Crown,339.4110107,38.0788994,1093,-124.4169998,7461.916016
Cam38_3,453299.8753,5900494.16,Crown,1238.23999,29.1548004,1374,-34.5570984,8292.613965
Cam39_2,450981.0607,5902338.186,Crown,163.2480011,5,1109,-195.8099976,8087.714063
Cam40_1,454647.9705,5905485,Crown,191.3769989,513.2490234,1104,-160.7409973,7741.652051
Cam40_3,451665.3554,5905071,Crown,129.0350037,133.1349945,1108,-107.4079971,7410.785938
Cam41_1,456536.5492,5880691.902,Jasper,9688.839844,180.2779999,1607,-291.2999878,5705.268066
Cam42_1,461518.4508,5877600.902,Jasper,8898.709961,148.4920044,1753,-238.3509979,5920.22793
caribou lakes 371860 5920827,371860,5920827,Jasper,52548.89844,25,1800,-359.5320129,6017.797949
celestine road 431273 5889129,431273,5889129,Jasper,5,339.4110107,1083,-250.052002,7142.069922
clairvaux pit 412005 5859489,412005,5859489,Jasper,389.1659851,163.7830048,1100,-589.4229736,7257.885937
coronet 471552 5826106,471552,5826106,Jasper,12310.7998,61.8465996,1750,-623.7379761,5795.325928
decoigne west 404691 5860672,404691,5860672,Jasper,505,147.0540009,1138,-512.5479736,7452.693945
devona trail 437346 5898330,437346,5898330,Jasper,795.8800049,226.9909973,1040,-357.57901,7007.998047
east osborne 462372 5862658,462372,5862658,Jasper,12974,5,1457,-453.0220032,5915.073926
evelyn falls 451027 5838107,451027,5838107,Jasper,6556,33.5410004,1961,-79.6688995,6353.074024
grizzly 469387 5858266,469387,5858266,Jasper,12225.7002,20,1544,-489.552002,6578.45791
hardscrabble pass 370023 5924598,370023,5924598,Jasper,55843.69922,5,1920,0,6834.32207
hochimin 425644 5865318,425644,5865318,Jasper,2163.479981,292.0620117,1228,-223.6060028,7238.736035
isaac creek 500175 5821260,500175,5821260,Jasper,27855.09961,56.5685005,1820,-413.6589966,6039.702051
jacques lake 451452 5866787,451452,5866787,Jasper,9668.030273,10,1480,-392.1080017,4525.306055
jeffery creek trail 453312 5846968,453312,5846968,Jasper,141.4210052,51.4780998,1602,-431.0230103,6217.57793
kerkeslin creek 442202 5836461,442202,5836461,Jasper,1205.75,10,1316,-429.651001,7336.089941
laura creek 428214 5907841,428214,5907841,Jasper,11168.09961,105,1370,-470.3529968,7635.364063
lower miette lake trail 399459 5863391,399380,5863596,Jasper,3180.73999,181.7969971,1427,-333.881012,7480.624023
lower smoky 350029 5914898,350029,5914898,Jasper,71458.89844,25.4951,1400,-500.0929871,6834.47207
maccarib 414579 5843192,414579,5843192,Jasper,13866.2002,188.2819977,2030,-138.0850067,7251.265918
mary vaux 467561 5820926,467561,5820926,Jasper,5781.339844,40,2000,-158.0449982,6613.226025
mclarens 389154 5914152,389154,5914152,Jasper,34056.39844,31.6228008,1919,9.7581797,5125.326074
medicine lake 444449 5859011,444449,5859011,Jasper,221.4160004,281.7799988,1428,-538.1060181,6511.348047
merlin pass trail 430324 5879091,430324,5879091,Jasper,1788.02002,187.6829987,1189,-312.4930115,7494.710059
miette lake 392821 5871785,392821,5871799,Jasper,13680.5,25,1779,-276.5820007,6782.415918
moose pass 363792 5900041,363792,5900041,Jasper,54114.5,167.7050018,1913,-261.2160034,5863.78999
moosehorn 430923 5904527,430923,5904527,Jasper,9078.129883,65.7647018,1292,-435.3789978,7537.341992
mud creek 405590 5914417,405590,5914417,Jasper,20803.80078,175.8549957,1400,-271.2309875,6651.153906
mural 357164 5898572,357164,5898572,Jasper,57958.39844,25,1652,-476.7510071,5610.739941
oatmeal 371946 5905050,371946,5905050,Jasper,48151.60156,42.4263992,1760,-415.1430054,7046.178027
ottos cache 434205 5844555,434205,5844555,Jasper,151.8220062,193.003006,1115,-395.401001,6223.181934
overlander_range trail 431700 5866528,431700,5866528,Jasper,870.9190063,472.7049866,1020,-503.95401,6974.195996
portal campground 422008 5843552,422008,5843552,Jasper,6809.879883,10,1973,-138.3890076,4745.731982
ram pass 405294 5911372,405294,5911372,Jasper,18910.30078,0,1560,-120.5230026,6622.616016
restless river 473616 5850037,473616,5850037,Jasper,13273.09961,39.0512009,1620,-449.2139893,6130.732031
rocky forks 474952 5853861,474952,5853861,Jasper,9468.230469,147.0540009,1619,-471.5859985,6249.884082
rocky pass 480949 5851927,480949,5851927,Jasper,8607.519531,163.7830048,1722,-380.8989868,6668.07002
scott flats 1 425858 5818344,425701,5818278,Jasper,18040.5,61.0327988,1360,-620.7650146,5293.276172
shalebanks 423086 5896281,423086,5896281,Jasper,75,1001.76001,1378,-288.625,7648.91416
slide creek 456539 5880687,456539,5880687,Jasper,9695.700195,177.3410034,1607,-291.2999878,5705.268066
slide creek horse camp 458811 5879709,458811,5879709,Jasper,10454.7998,58.3095016,1607,-262.1719971,5152.582129
slopes of signal 430417 5858845,430417,5858845,Jasper,1290.709961,1873.829956,1170,-251.3919983,7541.963965
snake indian falls 415376 5905905,415376,5905905,Jasper,8031.479981,38.0788994,1289,-491.2049866,7366.063867
snaring ponds 426646 5872057,426646,5872057,Jasper,1673.150024,642.2810059,1038,-492.1900024,6409.62002
snaring vine creek junction,427391,5881700,Jasper,5,148.0709991,1040,-455.2659912,6138.003906
southesk lake 485761 5832759,485761,5832759,Jasper,24615.69922,134.6289978,1850,-482.9899902,4424.145996
summit lakes 447781 5861732,447781,5861732,Jasper,3557,53.8516006,1540,-310.9620056,5665.364062
three slides 380272 5905382,380272,5905382,Jasper,39952.19922,55,1600,-450.5769958,5903.245996
timothy slides 349302 5909304,349302,5909304,Jasper,70958.79688,238.5370026,1476,-421.5090027,6676.532031
trail 7 430330 5859795,430330,5859795,Jasper,811.2490234,1546.25,1082,-350.3359985,7541.963965
twintree 361924 5917565,361924,5917565,Jasper,60669.10156,40,1660,-413.1059875,7024.439941
utopia pass 449971 5854706,449971,5884706,Jasper,1995.630005,36.4006004,1658,-97.2684021,6444.126074
verdant pass trail 425446 5835621,425446,5835621,Jasper,3970.030029,192.0939941,1983,-63.6898003,5449.266016
vine creek 423552 5887371,423552,5887371,Jasper,6786.950195,53.1506996,1640,-65.0582962,7035.136035
whirlpool fireroad 434491 5833186,434491,5833186,Jasper,2900.25,378.0209961,1244,-474.0859985,6658.696094
whistlers shoulder 426192 5857276,426192,5857276,Jasper,180.3470001,186.0110016,1060,-409.7000122,6851.141992
wolf pass 415140 5915727,415140,5915727,Jasper,17188.09961,82.4620972,1640,-42.0374985,7256.597949
wolverine 353332 5903226,353332,5903226,Jasper,63900.80078,109.7720032,1520,-550.8629761,6252.619922
X13_Cam01_3,480184.788,5873045.998,Crown,2538.860107,246.220993,1802,44.9760017,6886.224023
X13_Cam02_1,484640.0675,5879073.023,Crown,1274.75,124.1969986,1514,-40.4034004,7564.52002
X13_Cam03_2,475488.5458,5864694.765,Crown,4239.890137,63.6395988,1924,-0.790527,6491.435937
X13_Cam03_3,474211.1236,5868937.817,Whitehorse,2762.01001,25,1719,-253.2489929,7490.321973
X13_Cam04_2,478790.4553,5882756.089,Crown,3357.090088,132.0039978,1457,-79.8075027,7904.651953
X13_Cam05_1,475089.2954,5875839.409,Mine,990.0499878,7.0710702,1815,26.6497002,4376.958106
X13_Cam05_2,471808.7996,5871724.44,Whitehorse,4747.779785,178.6759949,1718,-251.4940033,7080.37207
X13_Cam06_3,495810.4855,5858750.029,Crown,1616.229981,98.6154022,1707,-127.302002,7269.866016
X13_Cam07_1,482190.488,5863188.341,Mine,523.4500122,55.9016991,1831,-152.9349976,6002.395899
X13_Cam08_2,488110.7833,5860483,Whitehorse,610,639.4140015,1856,-92.5035019,7277.404004
X13_Cam08_3,487145.0938,5859824.861,Crown,195,81.3940964,1739,-203.4720001,7004.291895
X13_Cam10_1,479788.0872,5890646.698,Crown,597.0339966,275.5450134,1297,-87.2478027,7765.418066
X13_Cam10_2,478705.7808,5886047.187,Crown,4396.25,35.3553009,1414,-48.4933014,7949.562012
X13_Cam11_1,490042.6414,5885199.344,Crown,571.4019775,188.2149963,1479,62.5264015,7659.840039
X13_Cam13_3,496454.4737,5885576,Crown,127.4749985,236.9069977,1489,71.6625977,7430.691992
X13_Cam15_3,471380.7205,5891551,Crown,1527.26001,287.1409912,1555,110.6399994,8258.019922
X13_Cam16_2,493165.6187,5876629.645,Crown,261.6300049,72.1110001,1571,4.0942402,6723.824024
X13_Cam17_1,503669.5661,5861546.868,Crown,1328.530029,183.4389954,1591,-67.5960999,7745.314062
X13_Cam17_2,501613.1471,5857620,Crown,7.0710702,60,1708,-0.638428,7296.745899
X13_Cam18_1,500131.8898,5882724.172,Crown,197.0410004,365.0339966,1429,6.7061801,7100.175977
X13_Cam18_2,496900.5225,5880664.243,Crown,194.1649933,60,1397,-68.6225967,5858.824023
X13_Cam19_1,503715.7777,5875638.087,Crown,190,109.6589966,1478,-39.9785004,6572.582031
X13_Cam19_3,502522.1432,5870889.561,Crown,411.4609985,345.57901,1593,-5.3962402,6723.408008
X13_Cam20_3,498742.4707,5888371.796,Crown,175.0709991,69.6418991,1285,-64.3900986,7512.42002
X13_Cam22_1,489488.4576,5889508.43,Crown,413.0979919,51.4780998,1305,-73.6261978,7391.877929
X13_Cam23_1,475985.3679,5904515.35,Crown,1714.699951,251.0980072,1313,15.7131004,7815.379981
X13_Cam25_1,464696.2097,5888709.729,Crown,1012.369995,371.6520081,1440,-164.5200043,7998.416211
X13_Cam25_2,460586.7665,5888094.178,Crown,4164.819824,31.6228008,1448,-200.7519989,7722.767969
X13_Cam26_3,474255.2361,5902241,Crown,1090.23999,79.0569,1332,5.56042,8191.309961
X13_Cam27_3,458538.3877,5896200.775,Crown,2152.820068,274.0889893,1526,-40.5203018,8060.021875
X13_Cam29_3,482053.7639,5901806.528,Crown,5,490.7650146,1213,-61.5409012,7188.358008
X13_Cam30_2,462940.254,5900671.984,Crown,10,121.7580032,1472,54.9417,8100.754102
X13_Cam31_2,490828.1188,5871429.756,Crown,1039.640015,56.5685005,1544,-160.2810059,8067.175977
X13_Cam31_3,492767.951,5870079.031,Crown,2695.350098,20,1599,-95.7451019,8150.602051
X13_Cam32_2,474708.8358,5896212.792,Crown,230,76.1576996,1416,72.1174011,8209.691895
X13_Cam32_3,475894.7205,5894550,Crown,740.0339966,142.2149963,1323,-48.0211983,7875.782031
X13_Cam33_2,469621.6796,5908685.789,Crown,1104.400024,5,1415,87.9218979,8019.206152
X13_Cam33_3,465366.0468,5909142.906,Crown,2108.370117,63.6395988,1502,175.0850067,7738.544043
X13_Cam34_1,469881.0653,5894432.29,Crown,1886.170044,74.3302994,1422,14.0211,7810.350098
X13_Cam34_3,470817.2795,5893211.559,Crown,878.2080078,396.5480042,1439,59.6786003,8196.976074
X13_Cam35_2,489022.4257,5872706.901,Crown,2029.119995,50,1514,-179.4340057,7921.005957
X13_Cam36_1,465775.6153,5883955.063,Mine,2603.459961,110,1625,-59.0248985,7478.451953
X13_Cam36_2,471044.6615,5882530.932,Mine,241.3500061,215.0579987,1691,-49.3333015,7004.616113
X13_Cam37_2,461226.8462,5904445.492,Crown,898.0529785,272.0289917,1526,155.3419952,7708.811914
X13_Cam38_1,459359.0178,5902472.534,Crown,1766.640015,42.4263992,1432,36.841301,7888.668067
X13_Cam38_3,454790.7833,5903574,Crown,445.4490051,671.3610229,1234,-85.3867035,7957.354004
X13_Cam39_1,448051.9588,5901422,Crown,5,643.2919922,1171,-122.0650024,7780.402051
X13_Cam39_3,448000.2167,5898982,Crown,471.0100098,506.1870117,1322,-73.3024979,7748.068066
X13_Cam40_2,452060.1961,5909449.079,Crown,430.1159973,44.7214012,1193,32.6618996,7751.193945
X13_Cam41_2,458769.8872,5879660.84,Jasper,10508.59961,0,1634,-283.2269897,5152.582129
X13_Cam42_2,463531.033,5875602.934,Jasper,7936.370117,83.2165985,1904,-85.9886017,5029.354004
X13_Cam43_2,454347.1703,5895252.545,Crown,1715.550049,203.0390015,2008,461.3450012,7483.174023
